item_stable_id,parent_stable_id,local_title_hash
637,456,-5811374061753897471
636,456,4645730890591282217
635,456,-9018090441882159857
634,456,5486123792124994826
633,456,-6555404592381927968
632,419,-5963391834359954458
631,456,9062436400580225640
630,456,4852490109036176670
629,456,3650377525600148366
628,456,552360383545135224
627,456,-4917454397501236517
626,456,437624598370814907
625,456,-8582875311468418727
624,456,-6227835294553266545
623,456,-6348654727821226028
622,456,4379282594846829101
621,456,-7619689984997330760
620,456,-5183539448183748460
619,456,239522806865790045
618,456,5593399338146880597
617,456,-6933789187095971376
411,209,-4901034188272256233
616,456,2974772948484400518
1013,456,1124936842783805133
1012,456,-7234622146796143387
1011,456,61287731063709248
1010,456,-8261926406760543062
1009,456,-7478162717364336710
1008,456,-4435821228188278999
1007,456,-5182403444217688929
1006,456,3300691134542752377
1005,456,7790214116256910661
1004,456,8338763600956914033
1003,456,-8411129623102295199
1002,456,7016264331889271502
1001,456,7933822947566784624
1000,456,5351573733318659192
999,456,5909141300171818618
998,456,7087007230265145266
997,456,3581794651105242136
996,456,-673294276594384488
995,456,4900072299360784931
994,456,8596540822389436349
993,456,8837763114260813705
992,456,7375260480683840250
991,456,7107207458772669699
990,456,5603617140520523955
989,456,-6188843409188710981
988,456,-9085134972860098919
987,456,-5409553007602127807
986,456,-3701266283947701969
985,456,-7074946033893536965
984,456,-2341458420806080830
983,456,-6907464455589754125
982,456,-3233624817356521379
981,456,8552671658378534349
980,456,-1256177074919003581
979,456,544476291242496363
978,456,-3520347776663710528
977,456,-8746142890620221309
976,456,7970765923047349490
975,456,-3283864862786106960
974,456,-5049195949347760473
973,456,5151617418193969664
972,456,2601783013523111999
971,456,4419905243018315092
970,456,-3590377500849561577
969,419,-3850982681933861552
968,456,-2169007868026030638
967,456,8661253887312554189
966,456,-4678781922501637190
965,456,8179451271403147217
964,456,-3800344491191909485
963,456,3461703966026577235
962,456,-7218499861512086832
961,456,-9143434496809355193
960,419,2670499612201654480
959,456,-3901004972973077734
958,456,-1360642388844922887
957,456,-171069286596464801
956,456,4027189993115171402
955,456,-3389027575940321200
954,456,-5230545853400410034
953,419,2229416881200830219
952,456,-2957072838805978121
951,456,3771270885071358466
950,456,-8724794490309093342
949,456,4132967219117003958
948,456,-367529199098536952
947,456,8618246788592102884
946,456,4605293833152054126
945,456,-5326203136526888237
944,456,8453546640119947238
943,456,3004394597605579264
942,456,-7080763118761947908
941,456,-3029436852784728994
940,456,-8027608877104845961
939,419,6242539518130907724
938,456,-6293258221124678965
937,456,6451908019826173658
936,456,-1896224978445066975
935,456,-2815171651032667953
934,456,4364874204818183125
933,456,314510124413119377
932,456,-5434858101910802976
931,456,337693042107542147
930,456,7023716087162552510
929,456,-2481325749181483801
928,456,8917346441707915636
927,456,-4217357622536274680
926,456,3936861022357899494
925,456,2527328337460681368
924,456,2199849268788398770
923,456,-6165737114498145921
922,456,1935129847840168239
921,456,-7322929836305405972
920,456,-212826476717165119
919,456,-1895408581460308969
918,456,4625122271599342871
917,456,11790395412775741
916,456,-5227723443800029987
915,456,1999113454179459956
914,456,4016045576509429417
913,456,-2268726597282902604
912,456,-8851177911323718716
911,456,7354334034704991436
910,456,2629604812538804690
909,456,-2194935396432740634
908,456,-3232132700385147344
907,456,-7173958157352698892
906,456,-6329017684349196295
905,456,3059821522673277298
904,456,-2751568359062090740
903,456,-6578925721001662956
902,456,4602610329157629150
901,456,-8159749426018193723
900,456,2285060968061266179
899,456,7960127709047509706
898,456,8527657939974182331
897,456,5621915884283241122
896,456,-8911403742341968314
895,456,418517219141082502
894,456,3217246856985863001
893,456,5734230446543418903
892,456,1571582640366171253
891,456,4957234826496309313
890,456,8173597208827407651
889,456,-1172696803341209106
888,456,1574587670692933644
887,456,7868484098542358993
886,456,7154445228522081142
885,456,4262295790753968089
884,456,-6389878332103051861
883,456,-6488533840609444868
882,456,-8983719282560265777
881,456,8524406998941910743
880,456,7678140872196111330
879,456,1187167953424697472
878,456,6812412210044384931
877,456,8166072067563641984
876,456,1179913949946587067
875,456,5832337699427625536
