item_stable_id,key,value,value_type
611,local-title,NirSoft_USBDeview.mkape,3
611,version-counter,1,2
610,local-title,Thor_Upgrade.mkape,3
610,version-counter,1,2
609,local-title,Thor-Lite_Scan.mkape,3
609,version-counter,1,2
608,local-title,SysInternals_PsTree.mkape,3
608,version-counter,1,2
607,local-title,Thor_Scan.mkape,3
607,version-counter,1,2
606,local-title,Thor-Lite_Upgrade.mkape,3
606,version-counter,1,2
605,local-title,log4j-scanner.mkape,3
605,version-counter,1,2
604,local-title,iTunesBackupReader.mkape,3
604,version-counter,1,2
603,local-title,Loki_Scan.mkape,3
603,version-counter,1,2
602,local-title,SRUMDump.mkape,3
602,version-counter,1,2
601,local-title,ThumbCacheViewer.mkape,3
601,version-counter,1,2
600,local-title,PowerShell_Netscan.mkape,3
600,version-counter,1,2
599,local-title,SEPparser.mkape,3
599,version-counter,1,2
598,local-title,TeamsParser.mkape,3
598,version-counter,1,2
597,local-title,PowerShell_Signed.mkape,3
597,version-counter,1,2
596,local-title,SOFELK_Parser_LEcmd.mkape,3
596,version-counter,1,2
595,local-title,SOFELK_Parser_PECmd.mkape,3
595,version-counter,1,2
594,local-title,SOFELK_Parser_EvtxECmd.mkape,3
594,version-counter,1,2
593,local-title,NirSoft_TurnedOnTimesView.mkape,3
593,version-counter,1,2
592,local-title,SOFELK_Parser_MFTECmd_J.mkape,3
592,version-counter,1,2
591,local-title,TZWorks_CAFAE_Registry_System.mkape,3
591,version-counter,1,2
590,local-title,Thor-Lite_LiveResponse.mkape,3
590,version-counter,1,2
589,local-title,Thor-Lite_LiveResponse_Lookback30days.mkape,3
589,version-counter,1,2
588,local-title,TZWorks_evtwalk64_EventLogs_ScheduledTasks.mkape,3
588,version-counter,1,2
587,local-title,MFTECmd.exe,3
587,version-counter,1,2
586,local-title,reg_hunter_email.mkape,3
586,version-counter,1,2
584,local-title,Volatility_userhandles.mkape,3
584,version-counter,1,2
583,local-title,EvtxECmd.exe,3
583,version-counter,1,2
582,local-title,Volatility_consoles.mkape,3
582,version-counter,1,2
581,local-title,hayabusa_EventStatistics.mkape,3
581,version-counter,1,2
580,local-title,RegRipper_SYSTEM.mkape,3
580,version-counter,1,2
579,local-title,reg_hunter_url.mkape,3
579,version-counter,1,2
578,local-title,reg_hunter_encoding.mkape,3
578,version-counter,1,2
577,local-title,reg_hunter_script.mkape,3
577,version-counter,1,2
576,local-title,reg_hunter_unc.mkape,3
576,version-counter,1,2
575,local-title,reg_hunter_ip.mkape,3
575,version-counter,1,2
574,local-title,reg_hunter_suspicious.mkape,3
574,version-counter,1,2
573,local-title,Volatility_ssdt.mkape,3
573,version-counter,1,2
572,local-title,Volatility_sockscan.mkape,3
572,version-counter,1,2
571,local-title,Volatility_pstree.mkape,3
571,version-counter,1,2
570,local-title,Volatility_sockets.mkape,3
570,version-counter,1,2
569,local-title,Volatility_netscan.mkape,3
569,version-counter,1,2
568,local-title,reg_hunter_binary.mkape,3
568,version-counter,1,2
567,local-title,Volatility_clipboard.mkape,3
567,version-counter,1,2
566,local-title,Volatility_hollowfind.mkape,3
566,version-counter,1,2
565,local-title,Volatility_driverirp.mkape,3
565,version-counter,1,2
564,local-title,Volatility_dlllist.mkape,3
564,version-counter,1,2
563,local-title,Volatility_connections.mkape,3
563,version-counter,1,2
562,local-title,Volatility_idt.mkape,3
562,version-counter,1,2
561,local-title,Volatility_malfind.mkape,3
561,version-counter,1,2
560,local-title,Volatility_modules.mkape,3
560,version-counter,1,2
559,local-title,Volatility_shimcache.mkape,3
559,version-counter,1,2
558,local-title,Volatility_userassist.mkape,3
558,version-counter,1,2
557,local-title,reg_hunter_shellcode.mkape,3
557,version-counter,1,2
556,local-title,Volatility_cmdline.mkape,3
556,version-counter,1,2
555,local-title,RegRipper_SAM.mkape,3
555,version-counter,1,2
554,local-title,RegRipper_NTUser-Variable.mkape,3
554,version-counter,1,2
553,local-title,hayabusa_LogonSummary.mkape,3
553,version-counter,1,2
552,local-title,hayabusa_OfflineEventLogs.mkape,3
552,version-counter,1,2
551,local-title,RegRipper_NTUser.mkape,3
551,version-counter,1,2
550,local-title,hayabusa_UpdateRules.mkape,3
550,version-counter,1,2
549,local-title,hayabusa_LiveResponse.mkape,3
549,version-counter,1,2
548,local-title,RegRipper_SECURITY.mkape,3
548,version-counter,1,2
547,local-title,Volatility_connscan.mkape,3
547,version-counter,1,2
546,local-title,RegRipper_UsrClass.mkape,3
546,version-counter,1,2
545,local-title,Volatility_cmdscan.mkape,3
545,version-counter,1,2
544,local-title,reg_hunter_shell.mkape,3
544,version-counter,1,2
543,local-title,reg_hunter_link.mkape,3
543,version-counter,1,2
542,local-title,reg_hunter_obfuscation.mkape,3
542,version-counter,1,2
541,local-title,Volatility_amcache.mkape,3
541,version-counter,1,2
540,local-title,Volatility_pslist.mkape,3
540,version-counter,1,2
539,local-title,Volatility_psxview.mkape,3
539,version-counter,1,2
538,local-title,Volatility_psscan.mkape,3
538,version-counter,1,2
537,local-title,Volatility_modscan.mkape,3
537,version-counter,1,2
536,local-title,Volatility_notepad.mkape,3
536,version-counter,1,2
535,local-title,PECmd.exe,3
535,version-counter,1,2
534,local-title,RegRipper_SYSTEM-Variable.mkape,3
534,version-counter,1,2
533,local-title,RegRipper_SECURITY-Variable.mkape,3
533,version-counter,1,2
532,local-title,RegRipper_SOFTWARE-Variable.mkape,3
532,version-counter,1,2
531,local-title,RegRipper_SOFTWARE.mkape,3
531,version-counter,1,2
530,local-title,RegRipper_UsrClass-Variable.mkape,3
530,version-counter,1,2
665,local-title,Application_CarbonBlackDefense_1.map,3
665,version-counter,1,2
664,local-title,!Channel-Name_Provider-Name_EventID.template,3
664,version-counter,1,2
663,local-title,adPWDManager_adPWDManager_110.map,3
663,version-counter,1,2
662,local-title,!Channel-Name_Provider-Name_EventID.guide,3
662,version-counter,1,2
661,local-title,Application_Application-Hang_1002.map,3
661,version-counter,1,2
660,local-title,Application_CarbonBlackDefense_17.map,3
660,version-counter,1,2
659,local-title,Application_Application-Error_1000.map,3
659,version-counter,1,2
658,local-title,Microsoft-Windows-Shell-Core-Operational_Microsoft-Windows-Shell-Core_9711.map,3
658,version-counter,1,2
657,local-title,!!!!README.md,3
657,version-counter,1,2
656,local-title,Microsoft-Windows-AppLocker-MSI-and-Script_Microsoft-Windows-AppLocker_8005.map,3
656,version-counter,1,2
655,local-title,Cisco-AnyConnect-Secure-Mobility-Client_acvpndownloader_5005.map,3
655,version-counter,1,2
654,local-title,Application_CarbonBlackDefense_49.map,3
654,version-counter,1,2
653,local-title,Application_ESENT_327.map,3
653,version-counter,1,2
652,local-title,Application_Citrix-Desktop-Service_1049.map,3
652,version-counter,1,2
651,local-title,Application_CylanceSvc_2.map,3
651,version-counter,1,2
650,local-title,Microsoft-Windows-Sysmon-Operational_Microsoft-Windows-Sysmon_5.map,3
650,version-counter,1,2
649,local-title,Microsoft-Windows-PowerShell-Operational_Microsoft-Windows-PowerShell_4103.map,3
649,version-counter,1,2
648,local-title,Microsoft-Windows-RemoteDesktopServices-RdpCoreTS-Operational_Microsoft-Windows-RemoteDesktopServices-RdpCoreTS_72.map,3
648,version-counter,1,2
647,local-title,Microsoft-Windows-RemoteDesktopServices-RdpCoreTS-Operational_Microsoft-Windows-RemoteDesktopServices-RdpCoreTS_131.map,3
647,version-counter,1,2
646,local-title,Microsoft-Windows-RemoteDesktopServices-RdpCoreTS-Operational_Microsoft-Windows-RemoteDesktopServices-RdpCoreTS_140.map,3
646,version-counter,1,2
645,local-title,Microsoft-Windows-RemoteDesktopServices-RdpCoreTS-Operational_Microsoft-Windows-RemoteDesktopServices-RdpCoreTS_104.map,3
645,version-counter,1,2
644,local-title,Microsoft-Windows-Shell-Core-Operational_Microsoft-Windows-Shell-Core_28115.map,3
644,version-counter,1,2
643,local-title,Microsoft-Windows-PrintService-Operational_Microsoft-Windows-PrintService_316.map,3
643,version-counter,1,2
642,local-title,Microsoft-Windows-RemoteDesktopServices-RdpCoreTS-Operational_Microsoft-Windows-RemoteDesktopServices-RdpCoreTS_98.map,3
642,version-counter,1,2
641,local-title,Microsoft-Windows-SmbClient-Connectivity_Microsoft-Windows-SMBClient_30805.map,3
641,version-counter,1,2
640,local-title,Microsoft-Windows-DateTimeControlPanel-Operational_Microsoft-Windows-DateTimeControlPanel_20000.map,3
640,version-counter,1,2
639,local-title,Cisco-AnyConnect-Secure-Mobility-Client_acvpnui_3021.map,3
639,version-counter,1,2
638,local-title,Microsoft-Windows-Bits-Client-Operational_Microsoft-Windows-Bits-Client_60.map,3
638,version-counter,1,2
637,local-title,Microsoft-Windows-DeviceSetupManager-Admin_Microsoft-Windows-DeviceSetupManager_101.map,3
637,version-counter,1,2
636,local-title,Microsoft-Windows-Storage-Storport-Operational_Microsoft-Windows-StorPort_505.map,3
636,version-counter,1,2
635,local-title,Application_Citrix-Desktop-Service_1027.map,3
635,version-counter,1,2
634,local-title,Application_CylanceSvc_1.map,3
634,version-counter,1,2
633,local-title,Application_System-Restore_8196.map,3
633,version-counter,1,2
632,local-title,AmcacheParser.exe,3
632,version-counter,1,2
631,local-title,Kaspersky-Endpoint-Security_avp_362.map,3
631,version-counter,1,2
630,local-title,Application_Windows-Error-Reporting_1001.map,3
630,version-counter,1,2
629,local-title,Microsoft-Windows-Application-Experience-Program-Telemetry_Microsoft-Windows-Application-Experience_505.map,3
629,version-counter,1,2
628,local-title,CrowdStrike-Falcon-Sensor-CSFalconService-Operational_CrowdStrike-Falcon-Sensor-CSFalconService_3.map,3
628,version-counter,1,2
627,local-title,CrowdStrike-Falcon-Sensor-CSFalconService-Operational_CrowdStrike-Falcon-Sensor-CSFalconService_4.map,3
627,version-counter,1,2
626,local-title,Microsoft-Windows-AppID-Operational_Microsoft-Windows-AppID_4004.map,3
626,version-counter,1,2
625,local-title,Kaspersky-Endpoint-Security_avp_302.map,3
625,version-counter,1,2
624,local-title,Microsoft-Windows-Sysmon-Operational_Microsoft-Windows-Sysmon_17.map,3
624,version-counter,1,2
623,local-title,Microsoft-Windows-Sysmon-Operational_Microsoft-Windows-Sysmon_21.map,3
623,version-counter,1,2
622,local-title,Microsoft-Windows-Sysmon-Operational_Microsoft-Windows-Sysmon_25.map,3
622,version-counter,1,2
621,local-title,Microsoft-Windows-Sysmon-Operational_Microsoft-Windows-Sysmon_23.map,3
621,version-counter,1,2
620,local-title,Microsoft-Windows-Sysmon-Operational_Microsoft-Windows-Sysmon_2.map,3
620,version-counter,1,2
619,local-title,Microsoft-Windows-Sysmon-Operational_Microsoft-Windows-Sysmon_20.map,3
619,version-counter,1,2
618,local-title,Microsoft-Windows-Sysmon-Operational_Microsoft-Windows-Sysmon_12.map,3
618,version-counter,1,2
617,local-title,Microsoft-Windows-Shell-Core-Operational_Microsoft-Windows-Shell-Core_9701.map,3
617,version-counter,1,2
411,local-title,kape.zip,3
411,version-counter,3,2
616,local-title,Application_McAfee-Endpoint-Security_3.map,3
616,version-counter,1,2
1013,local-title,Microsoft-Windows-TerminalServices-LocalSessionManager-Operational_Microsoft-Windows-TerminalServices-LocalSessionManager_39.map,3
1013,version-counter,1,2
1012,local-title,Microsoft-Windows-Sysmon-Operational_Microsoft-Windows-Sysmon_18.map,3
1012,version-counter,1,2
1011,local-title,Microsoft-Windows-SmbClient-Security_Microsoft-Windows-SMBClient_31010.map,3
1011,version-counter,1,2
1010,local-title,Microsoft-Windows-Sysmon-Operational_Microsoft-Windows-Sysmon_13.map,3
1010,version-counter,1,2
1009,local-title,Microsoft-Windows-Sysmon-Operational_Microsoft-Windows-Sysmon_10.map,3
1009,version-counter,1,2
1008,local-title,Microsoft-Windows-SMBServer-Operational_Microsoft-Windows-SMBServer_1016.map,3
1008,version-counter,1,2
1007,local-title,Microsoft-Windows-SMBServer-Audit_Microsoft-Windows-SMBServer_3000.map,3
1007,version-counter,1,2
1006,local-title,Microsoft-Windows-Sysmon-Operational_Microsoft-Windows-Sysmon_14.map,3
1006,version-counter,1,2
1005,local-title,Microsoft-Windows-GroupPolicy-Operational_Microsoft-Windows-GroupPolicy_4004.map,3
1005,version-counter,1,2
1004,local-title,Microsoft-Windows-DriverFrameworks-UserMode-Operational_Microsoft-Windows-DriverFrameworks-UserMode_2100.map,3
1004,version-counter,1,2
1003,local-title,Microsoft-Windows-DeviceSetupManager-Admin_Microsoft-Windows-DeviceSetupManager_112.map,3
1003,version-counter,1,2
1002,local-title,Microsoft-Windows-Diagnostics-Performance-Operational_Microsoft-Windows-Diagnostics-Performance_200.map,3
1002,version-counter,1,2
1001,local-title,Microsoft-Windows-Dhcp-Client-Admin_Microsoft-Windows-Dhcp-Client_50067.map,3
