CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2025-01-31 10:51:55.3774034,C:\Windows\prefetch\GIT.EXE-52A8D03B.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\GIT.EXE-52A8D03B.pf,3891,10969166D22EA59B77144DA7968CB7BB14B788CD,False,2025-01-29 21:47:29.7785343,2025-01-31 10:47:11.6280793,2025-01-31 10:47:11.6280793,00:00:00.0060045
2025-01-31 10:51:55.3959256,C:\Windows\prefetch\GKAPE.EXE-AEEF1DF0.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\GKAPE.EXE-AEEF1DF0.pf,52609,38A55F556579836D83A0C6C6B49105247136E621,False,2025-01-24 09:03:26.8127487,2025-01-31 10:21:23.3649093,2025-01-31 10:27:36.5443130,00:00:00.0155244
2025-01-31 10:51:55.4159243,C:\Windows\prefetch\GLDRIVERQUERY.EXE-D4C3F5EA.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\GLDRIVERQUERY.EXE-D4C3F5EA.pf,2606,B89D0AF375D94A54BEC8A30E3079D0F7C968ACA9,False,2025-01-25 16:48:51.5738463,2025-01-30 19:42:57.1954709,2025-01-31 10:27:36.5473127,00:00:00.0170041
2025-01-31 10:51:55.4399332,C:\Windows\prefetch\GLDRIVERQUERY64.EXE-1B3D222C.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\GLDRIVERQUERY64.EXE-1B3D222C.pf,14901,3818511A2F49CBBDFF4AF5FBB0F723AA63422D19,False,2025-01-25 16:48:50.9327903,2025-01-30 19:42:56.6139679,2025-01-31 10:27:36.5473127,00:00:00.0210051
2025-01-31 10:51:55.4599230,C:\Windows\prefetch\GPUCONTROL.EXE-4F4B962D.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\GPUCONTROL.EXE-4F4B962D.pf,50470,6D9040676250EEE48235F85963FF481E78E55CDD,False,2025-01-23 22:24:49.6014266,2025-01-31 10:13:59.0471090,2025-01-31 10:27:36.5483140,00:00:00.0159971
2025-01-31 10:51:55.4769316,C:\Windows\prefetch\GPU_ENCODER_HELPER.EXE-3120A6A7.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\GPU_ENCODER_HELPER.EXE-3120A6A7.pf,31826,BC7CC4AA609F32E219E358C75400F80DDECFBCC8,False,2025-01-29 20:23:13.0744912,2025-01-31 10:20:40.3434416,2025-01-31 10:27:36.5513171,00:00:00.0140094
2025-01-31 10:51:55.4961084,C:\Windows\prefetch\GPU_ENCODER_HELPER.EXE-55118A6A.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\GPU_ENCODER_HELPER.EXE-55118A6A.pf,31044,6C69399B01168901713CD63BBBE6901F73C04AD7,False,2025-01-28 21:03:57.2070061,2025-01-29 15:23:43.4972255,2025-01-31 10:27:36.5533126,00:00:00.0151762
2025-01-31 10:51:55.5161071,C:\Windows\prefetch\GPU_ENCODER_HELPER.EXE-BD8FB25A.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\GPU_ENCODER_HELPER.EXE-BD8FB25A.pf,31744,DD888073F2E2D04F8AE41708148DA9355A9CB266,False,2025-01-24 08:55:29.1527374,2025-01-28 12:11:01.5092485,2025-01-31 10:27:36.5563389,00:00:00.0159931
2025-01-31 10:51:55.5346537,C:\Windows\prefetch\HXTSR.EXE-B813D2ED.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\HXTSR.EXE-B813D2ED.pf,13726,5D0B29C0AE318FAAE8C884D7AA6FB5CB9C84ED29,False,2025-01-23 22:24:13.7066394,2025-01-31 10:36:43.0323708,2025-01-31 10:36:43.0323708,00:00:00.0145401
2025-01-31 10:51:55.5516540,C:\Windows\prefetch\HYP.EXE-35A9E2CC.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\HYP.EXE-35A9E2CC.pf,65470,6AFBA074D674C0611026E432894E85B433F3E379,False,2025-01-26 22:54:41.1071232,2025-01-30 23:33:17.5270317,2025-01-31 10:27:36.5603156,00:00:00.0130070
2025-01-31 10:51:55.5696512,C:\Windows\prefetch\HYPHELPER.EXE-E948C465.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\HYPHELPER.EXE-E948C465.pf,31646,34BC87D6C860F2A5153CBFE4E1EB6593FD1E3929,False,2025-01-26 22:54:45.1208623,2025-01-30 23:33:27.7400651,2025-01-31 10:27:36.5643201,00:00:00.0159994
2025-01-31 10:51:55.5871867,C:\Windows\prefetch\HYPHELPER.EXE-E948C466.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\HYPHELPER.EXE-E948C466.pf,30604,0F97FAB47315F52DA471A86E6D725216739D77A5,False,2025-01-26 22:54:45.3386973,2025-01-30 23:33:27.0065738,2025-01-31 10:27:36.5663167,00:00:00.0145315
2025-01-31 10:51:55.6071864,C:\Windows\prefetch\HYPHELPER.EXE-E948C46C.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\HYPHELPER.EXE-E948C46C.pf,22190,780E0749672C608F07737DBA3DC4656F7C84652B,False,2025-01-26 22:54:45.2566131,2025-01-30 23:33:27.4803278,2025-01-31 10:27:36.5684134,00:00:00.0169942
2025-01-31 10:51:55.6261875,C:\Windows\prefetch\IDENTITY_HELPER.EXE-1E981756.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\IDENTITY_HELPER.EXE-1E981756.pf,21965,E88353B40A6A84984F1CF255357062FE82CC9DA6,False,2025-01-29 21:13:36.3837171,2025-01-30 19:40:13.4718066,2025-01-31 10:27:36.5693955,00:00:00.0160016
2025-01-31 10:51:55.6471877,C:\Windows\prefetch\IDENTITY_HELPER.EXE-5D51188F.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\IDENTITY_HELPER.EXE-5D51188F.pf,21291,C3760B2749BEF9F12BD59E3B91EBA5898DC4FB16,False,2025-01-24 08:56:47.0826374,2025-01-25 17:03:21.2772510,2025-01-31 10:27:36.5714223,00:00:00.0180006
2025-01-31 10:51:55.6541857,C:\Windows\prefetch\IE4UINIT.EXE-693AF9DC.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\IE4UINIT.EXE-693AF9DC.pf,8168,5666A905AB4C0B5DF0105B8CCEC3C2F3444ADD5F,False,2025-01-23 22:07:43.6961717,2025-01-23 22:07:43.7425562,2025-01-31 10:27:36.5724173,00:00:00.0049986
2025-01-31 10:51:55.6621864,C:\Windows\prefetch\IPF_HELPER.EXE-9D7B7087.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\IPF_HELPER.EXE-9D7B7087.pf,2965,1A01AB063F2C74494E2BEA5E94B4984F085E4140,False,2025-01-23 22:22:10.7962898,2025-01-31 08:24:14.5875881,2025-01-31 10:27:36.5744061,00:00:00.0059971
2025-01-31 10:51:55.6761950,C:\Windows\prefetch\JAVA.EXE-7593CCF7.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\JAVA.EXE-7593CCF7.pf,16186,7BE331A55F4E4AF983A6D75987674E3EFB8EA809,False,2025-01-31 08:24:53.9517908,2025-01-31 10:42:13.6710144,2025-01-31 10:42:13.6710144,00:00:00.0110088
2025-01-31 10:51:55.6832147,C:\Windows\prefetch\JAVAWS.EXE-DA3CAA7D.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\JAVAWS.EXE-DA3CAA7D.pf,5219,B4903911A14D71F5A1DFAA2A4E19CA5CF96A92B1,False,2025-01-24 09:04:33.8998883,2025-01-31 10:22:39.3578039,2025-01-31 10:27:36.5763381,00:00:00.0050181
2025-01-31 10:51:55.6994755,C:\Windows\prefetch\JLECMD.EXE-94F78E9D.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\JLECMD.EXE-94F78E9D.pf,42009,12B8906E1A67261F966E013E7636952AC9B22B3A,False,2025-01-24 10:28:41.6820136,2025-01-31 09:59:16.2362617,2025-01-31 10:27:36.5773208,00:00:00.0133586
2025-01-31 10:51:55.7154720,C:\Windows\prefetch\JP2LAUNCHER.EXE-D997ADEF.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\JP2LAUNCHER.EXE-D997ADEF.pf,26700,4C19478AA94080441466E3C16F30E57CA1A893D7,False,2025-01-24 09:04:34.0376415,2025-01-31 10:22:41.2297504,2025-01-31 10:27:36.5804424,00:00:00.0139850
2025-01-31 10:51:55.7294737,C:\Windows\prefetch\JUCHECK.EXE-CA293356.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\JUCHECK.EXE-CA293356.pf,10715,1497840FB1251DBB4CDB16D7E282A5F42DD4F5A3,False,2025-01-24 09:04:40.3476636,2025-01-31 10:22:49.1567508,2025-01-31 10:27:36.5834492,00:00:00.0119986
2025-01-31 10:51:55.7374762,C:\Windows\prefetch\JUSCHED.EXE-D6111BFB.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\JUSCHED.EXE-D6111BFB.pf,4983,6DCB3AAEF1388719C810A064244CC0517642D4C2,False,2025-01-24 08:59:37.3515080,2025-01-31 10:17:48.4396744,2025-01-31 10:27:36.5853500,00:00:00.0050165
2025-01-31 10:51:55.7434743,C:\Windows\prefetch\KAPE.EXE-0115D3ED.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\KAPE.EXE-0115D3ED.pf,63762,DCC8ADC6DF32BCEE966553709C0AE57710604AFC,False,2025-01-24 10:28:40.7662942,2025-01-31 10:49:31.5326113,2025-01-31 10:49:31.5326113,00:00:00.0039963
2025-01-31 10:51:55.7574776,C:\Windows\prefetch\LAUNCHER_EPIC.EXE-9F986591.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\LAUNCHER_EPIC.EXE-9F986591.pf,39494,31E041120FC570DAC1602B481B66B0BF38E7A0B3,False,2025-01-26 22:54:39.4842363,2025-01-30 23:33:15.8827768,2025-01-31 10:27:36.6282529,00:00:00.0110014
2025-01-31 10:51:55.7714840,C:\Windows\prefetch\LOCKAPP.EXE-1CBA3694.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\LOCKAPP.EXE-1CBA3694.pf,37969,A0D326D2B1456557D6F7504E69DB83815C533BC8,False,2025-01-24 08:53:02.0442730,2025-01-30 20:00:51.9201136,2025-01-31 10:27:36.6343263,00:00:00.0110098
2025-01-31 10:51:55.7844986,C:\Windows\prefetch\LOGONUI.EXE-F639BD7E.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\LOGONUI.EXE-F639BD7E.pf,49326,33D091DDC49684DA755F67C78443C30639959E7A,False,2025-01-23 22:21:40.8590511,2025-01-30 23:59:58.0086891,2025-01-31 10:27:36.6382645,00:00:00.0120005
2025-01-31 10:51:55.7976089,C:\Windows\prefetch\MATLABSTARTUPACCELERATOR.EXE-1B86C355.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\MATLABSTARTUPACCELERATOR.EXE-1B86C355.pf,2941,0D5E0EC2E0CD5C20DD0F1F640542E7CE96980638,False,2025-01-27 12:09:11.7364984,2025-01-30 07:24:43.2163434,2025-01-31 10:27:36.6432761,00:00:00.0100241
2025-01-31 10:51:55.8146083,C:\Windows\prefetch\MCBUILDER.EXE-6F788FC0.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\MCBUILDER.EXE-6F788FC0.pf,12102,1753A70FEC0C0623E51278B128753A0DBEA90658,False,2025-01-23 22:12:03.7642812,2025-01-23 22:21:13.6839523,2025-01-31 10:27:36.6442459,00:00:00.0160163
2025-01-31 10:51:55.8285912,C:\Windows\prefetch\MEDIACREATIONTOOL_22H2 (1).EX-51C9D674.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\MEDIACREATIONTOOL_22H2 (1).EX-51C9D674.pf,23589,06E30B5E4FFBB085D9CECE553B58741F3013EB35,False,2025-01-29 20:35:12.9915668,2025-01-29 20:35:12.9925674,2025-01-31 10:27:36.6452360,00:00:00.0089820
2025-01-31 10:51:55.8465978,C:\Windows\prefetch\MEDIACREATIONTOOL_22H2 (1).EX-C6EB9731.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\MEDIACREATIONTOOL_22H2 (1).EX-C6EB9731.pf,23313,8482710F508189448424D221437E3D4B78B76BFB,False,2025-01-29 20:32:49.7573977,2025-01-29 20:32:49.7583862,2025-01-31 10:27:36.6462355,00:00:00.0139990
2025-01-31 10:51:55.8666822,C:\Windows\prefetch\MICROSOFT.SHAREPOINT.EXE-D1C984E5.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\MICROSOFT.SHAREPOINT.EXE-D1C984E5.pf,38725,C15166010D9D3C3A39EDA2DB6531A0394D433535,False,2025-01-29 20:20:38.3232139,2025-01-31 10:15:11.9507570,2025-01-31 10:27:36.6472332,00:00:00.0159876
